Dracula’s Guest | Bram Stoker
Pygmalion | George Bernard Shaw
The Wonderful Wizard of Oz | L. Frank Baum
Siddhartha | Hermann Hesse
Peter Pan | J. M. Barrie
Treasure Island | Robert Louis Stevenson
Ulysses | James Joyce
Kama Sutra | Vatsyayana Mallanaga
Uncle Tom’s Cabin | Harriet Beecher Stowe
The Scarlet Letter | Nathaniel Hawthorne
War and Peace | Leo Tolstoy
The Diary of a Young Girl | Anne Frank
Quran | Muhammad
The Master Key System | Charles F. Haanel
Mein Kampf | Adolf Hitler
Wage Labour and Capital | Karl Marx
The King James Bible
Das Kapital | Karl Marx
The Count of Monte Cristo | Alexandre Dumas
The Wealth of Nations | Adam Smith
The Prince | Niccolo Machiavelli
The War of the Worlds | H. G. Wells
The Holy Bible American Standard Edition
The Greatest Works Of Edgar Allen Poe Volume One | Edgar Allen Poe
The Greatest Works Of Edgar Allen Poe Volume Four | Edgar Allen Poe
The Greatest Works Of Edgar Allen Poe Volume Five | Edgar Allen Poe
The Fall of the House of Usher | Edgar Allen Poe
The Edgar Allen Poe Collection | Edgar Allen Poe
Eureka: A Prose Poem | Edgar Allen Poe
Mansfield Park | Jane Austen
Love and Friendship | Jane Austen
Lady Susan | Jane Austen
The Communist Manifesto | Friedrich Engels & Karl Marx
The Call of Cthulhu | H. P. Lovecraft
The Art Of War | Sun Tzu
The Art of Public Speaking | Dale Carnegie & J. Berg Esenwein
The Adventures of Sherlock Holmes | Sir Arthur Conan Doyle
The Three Musketeers | Alexandre Dumas
A Tale Of Two Cities | Charles Dickens
Robinson Crusoe | Daniel Defoe
Tarzan Of The Apes | Edgar Rice Burroughs
The Thirty Nine Steps | John Buchan
Wuthering Heights | Emily Bronte
Sense and Sensibility | Jane Austen
Pride and Prejudice | Jane Austen
The Picture Of Dorian Gray | Oscar Wilde
The Island of Doctor Moreau | H.G Wells
Kidnapped | Robert Louis Stevenson
Pollyanna | Anna Sewell
The Merry Adventures of Robin Hood | Howard Pyle
Paradise Lost | John Milton
Moby Dick | Herman Melville
Of Human Bondage | William Somerset Maugham
The Jungle Book | Rudyard Kipling
The Metamorphosis | Franz Kafka
The Legend of Sleepy Hollow | Washington Irving
What is Art? | Leo Tolstoy
Five Children and It | Edith Nesbit
One Thousand and One Nights | Christian Maximilian Habicht
The Iron Heel | Jack London
The Wind in the Willows | Kenneth Grahame
Labor and Freedom | Eugene V. Debs
My Antonia | Willa Cather
Les Miserables | Victor Hugo
The Odyssey | Homer
Middlemarch | George Eliot
Notes from the Underground | Fyodor Dostoyevsky
The Idiot | Fyodor Dostoyevsky
Oliver Twist | Charles Dickens
The Last of the Mohicans | James Fenimore Cooper
Nostromo, A Tale of the Seaboard | Joseph Conrad
Jane Eyre | Charlotte Bronte
Persuasion | Jane Austen
Northanger Abbey | Jane Austen
Little Women | Louisa May Alcott
The Hound Of The Baskervilles | Sir Arthur Conan Doyle
The Brothers Karamazov | Fyodor Dostoyevsky
The Adventures of Tom Sawyer | Mark Twain
The Adventures of Huckleberry Finn | Mark Twain
Heart Of Darkness | Joseph Conrad
Gulliver’s Travels | Jonathan Swift
Grimms’ Fairy Tales | Brother’s Grimm
Great Expectations | Charles Dickens
Frankenstein | Mary Shelley
For the Term of His Natural Life | Marcus Clarke
Erewhon | Samuel Butler
Emma | Jane Austen
Dubliners | James Joyce
Dracula | Bram Stoker
David Copperfield | Charles Dickens
Crime and Punishment | Fyodor Dostoyevsky
Bleak House | Charles Dickens
Beyond Good and Evil | Friedrich Nietzsche
Around The World In 80 Days | Jules Verne
Anne Of Green Gables | Lucy Maud Montgomery
Anna Karenina | Leo Tolstoy
Andersen’s Fairy Tales | Hans Christian Andersen
Alice’s Adventures In Wonderland | Lewis Carole
Agnes Grey | Anne Bronte
Aesop’s Fables | Aesop
A Christmas Carol | Charles Dickens
